ExerciseID,Exercise Name,ExerciseType,ExerciseDifficulty,ExerciseTargetMuscleGroup,IsEquipmentNeeded,Min Reps/Hold,Max Reps / Hold,Min. Duration in minutes (Cardio/Flex) ,Max. Duration in minutes(Cardio/Flex),Equipment Needed,Min No. of Recommended Sets,Max No. of Recommended Sets
BAL_001,Single-Leg Stand / Single-Leg Balance,Balance,Beginner,Legs,0,15s hold each sides,45s hold each side,N/A,N/A,n/a,2,3
BAL_002,Tandem Walk (Heel-to-Toe),Balance,Beginner,FullBody,0,1km,5km,N/A,N/A,n/a,2,3
BAL_003,Yoga Tree Pose,Balance,Beginner,Legs,0,20s hold each side,60s hold each side,N/A,N/A,n/a,2,3
BAL_004,Single-Leg Romanian Deadlift (SLRDL),Balance,Advanced,Hamstrings,1,6 each leg,10 each leg,N/A,N/A,n/a(optional: Dumbbell/Kettlebell),2,4
BAL_005,Bosu Ball Squats,Balance,Intermediate,Legs,1,10,15,N/A,N/A,Bosu Ball,2,3
BAL_006,Stability Ball Pike,Balance,Intermediate,Core,1,10,15,N/A,N/A,Stability Ball,2,4
CARDIO_001,Arm Circles (Implied),Cardio,Beginner,Arms,0,10-15 each direction,10-15 each direction,3,5,n/a,1,3
CARDIO_002,Lateral Raises (Cardio Pace - Implied),Cardio,Intermediate,Shoulders,1,15,25,N/A,N/A,Light Dumbbells (optional),1,3
CARDIO_003,Burpees (Implied),Cardio,Advanced,FullBody,0,10,15,N/A,N/A,n/a,2,3
CARDIO_004,Jumping Jacks (Implied),Cardio,Beginner,FullBody,0,20,50,10,20,n/a,2,3
CARDIO_005,Mountain Climbers (Implied),Cardio,Intermediate,Core,0,30s interval,60s interval,N/A,N/A,n/a,2,3
CARDIO_006,Running (Treadmill/Outdoor),Cardio,Intermediate,FullBody,0,N/A,N/A,20,45,(optional:Treadmill),2,3
CARDIO_007,Jogging,Cardio,Beginner,FullBody,0,N/A,N/A,15,30,n/a,2,3
CARDIO_008,Brisk Walking,Cardio,Beginner,FullBody,0,N/A,N/A,20,60,n/a,2,3
CARDIO_009,Cycling (Stationary/Outdoor),Cardio,Intermediate,Legs,1,N/A,N/A,20,60,Stationary Bike or Bicycle,2,3
CARDIO_010,Swimming (Freestyle),Cardio,Intermediate,FullBody,1,N/A,N/A,20,45,Pool,2,3
